Date,Open,High,Low,Close,Adj Close,Volume
1999-06-14,115.875000,116.000000,114.000000,115.500000,84.590065,4896700
1999-06-15,117.500000,118.312500,114.750000,115.875000,84.864716,4884900
1999-06-16,119.875000,121.500000,118.875000,120.687500,88.389297,6963100
1999-06-17,119.250000,122.000000,119.000000,120.187500,88.023087,4675900
1999-06-18,120.187500,121.437500,119.750000,120.750000,88.435066,9159600
1999-06-21,122.875000,125.750000,122.625000,124.750000,91.364624,6466300
1999-06-22,123.875000,127.750000,123.000000,123.375000,90.357574,6791300
1999-06-23,122.250000,124.187500,121.750000,122.937500,90.037125,4418800
1999-06-24,123.125000,124.437500,121.562500,122.562500,89.762527,5231200
1999-06-25,123.312500,125.750000,123.125000,123.125000,90.174484,4563600
1999-06-28,124.000000,124.687500,122.187500,122.562500,89.762527,6233300
1999-06-29,123.000000,125.312500,122.750000,124.625000,91.273048,5223800
1999-06-30,124.812500,132.000000,124.375000,129.250000,94.660324,8257300
1999-07-01,130.000000,131.312500,128.000000,131.000000,95.941986,5911600
1999-07-02,130.875000,132.250000,129.500000,132.250000,96.857468,3543600
1999-07-06,132.500000,133.875000,130.812500,131.000000,95.941986,5709300
1999-07-07,131.000000,133.500000,130.625000,132.812500,97.269440,6648900
1999-07-08,132.500000,135.500000,132.125000,134.000000,98.139114,6092900
1999-07-09,134.000000,137.437500,133.875000,137.375000,100.610947,4795900
1999-07-12,137.437500,138.687500,135.375000,137.812500,100.931297,5046900
1999-07-13,135.750000,139.187500,135.750000,137.875000,100.977097,5645700
1999-07-14,138.312500,138.500000,136.187500,137.250000,100.519363,4724000
1999-07-15,138.000000,138.125000,134.500000,136.312500,99.832764,5583600
1999-07-16,136.375000,137.500000,135.375000,136.250000,99.786957,5123100
1999-07-19,136.500000,138.875000,133.687500,134.625000,98.596848,7626500
1999-07-20,132.000000,132.125000,126.062500,128.250000,93.927917,14307400
1999-07-21,127.500000,129.750000,126.875000,129.000000,94.477219,8792300
